MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2309147, y : 29.0064413, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.230799, y : 29.0064383, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2306808, y : 29.0064343, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2305625, y : 29.0064303, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2304463, y : 29.0064134, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2303844, y : 29.0064101, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.230326, y : 29.0064222, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.229853, y : 29.0064061, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2289069, y : 29.0063739, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2284974, y : 29.0069318, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2283499, y : 29.007597, z : 10.0}
MISSION_ITEM {target_system : 1, target_component : 0, seq : 0, frame : 3, command : 16, current : 0, autocontinue : 1, param1 : 0.0, param2 : 0.0, param3 : 0.0, param4 : 0.0, x : 40.2283663, y : 29.00823, z : 10.0}
